team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PIT,2022,PIT,PIT,Team Level,other,7,0.54,0.4,0.4,453.0,7.41,1.75,0.45,1.3,0.24,3.56,2.69,1.75,1.75,1.75,8.0,2.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,7.0,9.0,1.0,2.0,4.0,2.0,0.0,0.0,5.0,2.0,3.0,0.26,0.27,1.22,0.0,0.0,1.0,12.0,10.0,10.0,0.0,0.13,0.0,0.0,1.88,1.88,1.88,11.42,1.51,0.73,2.01,0.33,6.06,4.36,1.48,1.51,1.48,12.0,3.0,3.0,18.0,2.0,0.0,0.0,0.0,0.0,6.0,7.0,10.0,13.0,0.0,0.0,4.0,5.0,4.0,0.0,6.0,8.0,1.0,0.28,0.99,0.24,1.0,0.0,1.0,18.0,15.0,15.0,0.0,0.21,0.0,0.0,1.72,1.72,1.69
PIT,2022,PIT,PIT,Team Level,all,7,0.56,0.51,0.52,25389.0,255.01,28.46,18.88,57.96,8.58,140.32,100.8,26.56,29.0,27.06,267.0,88.0,97.0,452.0,30.0,33.0,8.0,52.0,6.0,104.0,130.0,237.0,325.0,25.0,52.0,227.0,185.0,56.0,63.0,246.0,74.0,35.0,7.26,9.38,11.82,8.0,13.0,9.0,465.42,355.0,361.81,37.0,4.21,7.46,7.46,25.22,25.59,24.89,240.13,22.02,17.04,55.81,7.98,132.95,98.21,20.92,21.62,20.56,258.0,76.0,109.0,443.0,21.0,19.0,1.0,58.0,11.0,111.0,114.0,237.0,313.0,28.0,58.0,209.0,179.0,73.0,71.0,256.0,58.0,20.0,7.39,7.13,7.5,5.0,7.0,9.0,434.01,334.0,328.56,38.0,3.79,4.03,4.03,21.77,21.47,20.86
PIT,2022,PIT,PIT,Team Level,5on5,7,0.55,0.49,0.52,19998.0,191.57,18.86,13.27,45.83,6.43,104.77,77.83,17.91,19.39,18.41,203.0,64.0,72.0,339.0,21.0,27.0,6.0,42.0,6.0,76.0,95.0,182.0,246.0,23.0,48.0,165.0,172.0,43.0,53.0,196.0,46.0,25.0,5.75,5.96,7.15,7.0,8.0,6.0,352.42,267.0,273.81,35.0,2.76,5.82,5.82,15.81,16.18,15.93,177.98,15.22,11.88,43.35,6.1,99.26,73.19,14.31,14.82,13.95,186.0,63.0,99.0,348.0,12.0,14.0,1.0,40.0,7.0,91.0,85.0,174.0,237.0,25.0,52.0,166.0,162.0,60.0,61.0,192.0,44.0,13.0,5.54,5.46,4.23,2.0,7.0,3.0,339.01,249.0,243.56,33.0,2.45,3.69,3.69,13.99,13.69,13.29
PIT,2022,PIT,PIT,Team Level,4on5,7,0.14,0.11,0.11,2157.0,5.08,0.71,0.26,0.7,0.15,1.67,3.52,0.71,0.71,0.71,7.0,0.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,6.0,6.0,0.0,0.0,28.0,8.0,6.0,3.0,4.0,2.0,1.0,0.07,0.33,0.3,0.0,1.0,0.0,8.0,7.0,7.0,2.0,0.06,0.0,0.0,0.77,0.77,0.77,40.65,4.49,3.91,8.93,1.22,24.38,13.07,4.33,4.49,4.33,47.0,9.0,7.0,63.0,6.0,5.0,0.0,15.0,4.0,14.0,12.0,41.0,50.0,3.0,6.0,22.0,1.0,3.0,6.0,45.0,6.0,5.0,1.02,0.68,2.78,2.0,0.0,4.0,63.0,56.0,56.0,1.0,1.01,0.35,0.35,5.15,5.15,4.98
PIT,2022,PIT,PIT,Team Level,5on4,7,0.9,0.87,0.84,2781.0,50.95,7.15,4.89,10.13,1.75,30.33,16.75,6.19,7.15,6.19,49.0,22.0,22.0,93.0,7.0,6.0,2.0,9.0,0.0,24.0,25.0,42.0,64.0,1.0,2.0,30.0,3.0,7.0,7.0,41.0,24.0,6.0,1.19,2.81,3.15,1.0,4.0,2.0,93.0,71.0,71.0,0.0,1.26,1.64,1.64,6.76,6.76,6.32,10.08,0.79,0.51,1.51,0.34,3.25,7.59,0.79,0.79,0.79,13.0,1.0,0.0,14.0,1.0,0.0,0.0,3.0,0.0,0.0,10.0,12.0,13.0,0.0,0.0,17.0,11.0,6.0,4.0,13.0,0.0,1.0,0.55,0.0,0.25,0.0,0.0,1.0,14.0,14.0,14.0,4.0,0.11,0.0,0.0,0.91,0.91,0.91
CGY,2022,CGY,CGY,Team Level,other,6,0.5,0.5,0.45,709.0,7.08,1.81,0.43,1.23,0.24,3.27,3.01,1.78,1.81,1.78,6.0,4.0,5.0,15.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,9.0,1.0,2.0,7.0,2.0,4.0,1.0,3.0,4.0,3.0,0.06,0.44,1.31,0.0,1.0,0.0,15.0,10.0,10.0,1.0,0.11,0.36,0.36,1.56,1.56,1.56,8.53,1.78,0.73,1.17,0.29,5.13,2.89,1.76,1.78,1.76,9.0,3.0,3.0,15.0,2.0,0.0,0.0,2.0,1.0,5.0,2.0,7.0,10.0,0.0,0.0,10.0,1.0,2.0,4.0,6.0,4.0,2.0,0.23,0.51,1.05,0.0,0.0,2.0,15.0,12.0,12.0,3.0,0.21,0.0,0.0,1.99,1.99,1.96
CGY,2022,CGY,CGY,Team Level,all,6,0.49,0.54,0.54,21870.0,207.66,19.57,14.71,47.6,7.32,114.07,86.73,19.15,19.49,19.07,220.0,70.0,89.0,379.0,22.0,21.0,4.0,50.0,7.0,66.0,124.0,198.0,268.0,26.0,54.0,195.0,156.0,61.0,49.0,219.0,48.0,23.0,6.58,5.65,7.35,5.0,6.0,11.0,378.6,290.0,288.43,31.0,3.26,3.24,3.24,19.6,19.46,19.25,183.16,20.11,12.22,41.02,6.02,98.69,72.93,18.99,20.49,19.37,167.0,84.0,73.0,324.0,17.0,17.0,3.0,40.0,10.0,69.0,98.0,150.0,234.0,25.0,50.0,176.0,117.0,43.0,52.0,184.0,50.0,17.0,4.91,6.33,8.87,6.0,4.0,7.0,328.83,251.0,255.89,36.0,2.72,4.08,4.08,18.76,19.15,18.7
CGY,2022,CGY,CGY,Team Level,5on5,6,0.5,0.52,0.53,16216.0,148.69,11.33,9.7,36.16,5.21,82.34,61.26,11.12,11.25,11.03,153.0,53.0,65.0,271.0,13.0,13.0,3.0,39.0,2.0,51.0,88.0,140.0,193.0,25.0,52.0,133.0,135.0,45.0,39.0,169.0,27.0,10.0,5.21,3.3,2.82,4.0,3.0,6.0,270.6,206.0,204.43,25.0,1.99,1.55,1.55,11.78,11.65,11.52,135.51,11.44,8.67,32.8,4.47,72.16,55.46,11.07,11.82,11.45,126.0,59.0,61.0,246.0,10.0,15.0,2.0,36.0,6.0,52.0,66.0,116.0,175.0,23.0,46.0,127.0,109.0,36.0,41.0,139.0,39.0,7.0,4.09,4.83,2.52,5.0,3.0,2.0,250.83,185.0,189.89,30.0,1.78,2.56,2.56,10.66,11.06,10.87
CGY,2022,CGY,CGY,Team Level,4on5,6,0.15,0.3,0.31,2786.0,14.63,1.1,0.73,2.26,0.52,5.32,11.07,1.1,1.1,1.1,20.0,1.0,2.0,23.0,1.0,0.0,0.0,3.0,1.0,2.0,14.0,19.0,20.0,0.0,0.0,23.0,15.0,8.0,5.0,17.0,3.0,1.0,0.4,0.3,0.39,0.0,1.0,0.0,23.0,21.0,21.0,5.0,0.16,0.0,0.0,1.26,1.26,1.26,32.98,6.21,2.51,6.25,1.09,19.46,10.48,5.48,6.21,5.48,26.0,20.0,7.0,53.0,4.0,2.0,1.0,2.0,3.0,12.0,23.0,22.0,42.0,0.0,0.0,24.0,3.0,0.0,4.0,35.0,3.0,8.0,0.48,0.42,5.31,1.0,0.0,3.0,53.0,46.0,46.0,0.0,0.67,1.52,1.52,5.35,5.35,5.11
CGY,2022,CGY,CGY,Team Level,5on4,6,0.89,0.88,0.87,2159.0,37.26,5.32,3.86,7.95,1.35,23.13,11.38,5.15,5.32,5.15,41.0,12.0,17.0,70.0,7.0,7.0,1.0,7.0,3.0,12.0,17.0,34.0,46.0,0.0,0.0,32.0,4.0,4.0,4.0,30.0,14.0,9.0,0.9,1.6,2.82,1.0,1.0,5.0,70.0,53.0,53.0,0.0,1.0,1.33,1.33,4.99,4.99,4.91,6.15,0.68,0.3,0.8,0.18,1.93,4.1,0.68,0.68,0.68,6.0,2.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,7.0,2.0,4.0,15.0,4.0,5.0,3.0,4.0,4.0,0.0,0.11,0.57,0.0,0.0,1.0,0.0,10.0,8.0,8.0,3.0,0.07,0.0,0.0,0.75,0.75,0.74
