team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
WSH,2022,WSH,WSH,Team Level,other,7,0.51,0.62,0.58,1120.0,15.38,2.95,1.18,3.02,0.51,9.14,4.2,2.83,2.95,2.83,13.0,8.0,13.0,34.0,1.0,1.0,0.0,2.0,1.0,12.0,4.0,12.0,20.0,1.0,2.0,9.0,6.0,3.0,3.0,14.0,2.0,5.0,0.33,0.22,2.4,0.0,0.0,1.0,34.0,21.0,21.0,0.0,0.35,0.47,0.47,2.84,2.84,2.75,9.5,2.86,0.59,1.57,0.33,5.73,2.98,2.75,2.86,2.75,11.0,4.0,6.0,21.0,3.0,1.0,0.0,0.0,0.0,7.0,4.0,8.0,12.0,0.0,0.0,15.0,1.0,0.0,5.0,10.0,0.0,5.0,0.4,0.0,2.46,0.0,0.0,3.0,21.0,15.0,15.0,3.0,0.18,0.23,0.23,2.75,2.75,2.64
WSH,2022,WSH,WSH,Team Level,all,7,0.45,0.5,0.48,25200.0,215.83,20.72,14.2,49.23,6.93,115.16,86.76,19.23,20.57,19.1,198.0,95.0,113.0,406.0,25.0,17.0,2.0,47.0,4.0,102.0,98.0,173.0,268.0,24.0,54.0,173.0,231.0,50.0,69.0,214.0,53.0,26.0,6.08,6.17,8.47,11.0,7.0,7.0,403.96,293.0,292.21,33.0,3.2,4.3,4.3,19.62,19.5,18.71,230.45,25.54,15.09,51.27,7.4,122.48,89.28,24.43,25.54,24.43,232.0,80.0,101.0,413.0,24.0,19.0,5.0,61.0,10.0,99.0,99.0,208.0,288.0,28.0,62.0,233.0,181.0,47.0,79.0,206.0,75.0,31.0,6.12,8.8,10.62,2.0,8.0,14.0,414.29,312.0,313.24,40.0,3.32,5.29,5.29,23.5,23.5,22.82
WSH,2022,WSH,WSH,Team Level,5on5,7,0.42,0.48,0.47,20165.0,160.71,12.14,9.78,37.99,5.12,84.21,67.76,11.8,12.0,11.66,145.0,72.0,88.0,305.0,18.0,10.0,0.0,40.0,2.0,71.0,76.0,127.0,199.0,23.0,52.0,133.0,214.0,42.0,53.0,167.0,38.0,12.0,4.75,4.41,2.98,10.0,6.0,2.0,302.96,217.0,216.21,29.0,2.02,1.92,1.92,12.25,12.13,11.91,184.6,16.61,11.56,42.74,5.93,97.3,73.85,16.12,16.61,16.12,180.0,68.0,81.0,329.0,16.0,12.0,3.0,54.0,9.0,72.0,85.0,164.0,232.0,26.0,58.0,178.0,175.0,42.0,61.0,173.0,59.0,16.0,5.2,6.88,4.54,2.0,8.0,6.0,330.29,248.0,249.24,35.0,2.39,3.2,3.2,15.8,15.8,15.56
WSH,2022,WSH,WSH,Team Level,4on5,7,0.15,0.16,0.21,1738.0,7.56,0.96,0.42,1.24,0.29,2.81,5.28,0.94,0.96,0.94,10.0,1.0,0.0,11.0,1.0,1.0,0.0,2.0,0.0,1.0,6.0,9.0,10.0,0.0,0.0,14.0,5.0,2.0,3.0,7.0,2.0,2.0,0.15,0.23,0.58,0.0,1.0,0.0,11.0,11.0,11.0,3.0,0.09,0.36,0.36,0.68,0.68,0.68,30.79,5.27,2.63,6.25,0.99,17.83,9.04,4.76,5.27,4.76,35.0,7.0,14.0,56.0,5.0,6.0,2.0,6.0,1.0,16.0,8.0,30.0,37.0,1.0,2.0,22.0,1.0,0.0,12.0,19.0,15.0,8.0,0.43,1.73,3.11,0.0,0.0,5.0,56.0,42.0,42.0,1.0,0.68,1.86,1.86,4.08,4.08,3.75
WSH,2022,WSH,WSH,Team Level,5on4,7,0.85,0.89,0.86,2177.0,32.18,4.67,2.82,6.97,1.02,19.01,9.51,3.67,4.67,3.67,30.0,14.0,12.0,56.0,5.0,5.0,2.0,3.0,1.0,18.0,12.0,25.0,39.0,0.0,0.0,17.0,6.0,3.0,10.0,26.0,11.0,7.0,0.84,1.31,2.51,1.0,0.0,4.0,56.0,44.0,44.0,1.0,0.74,1.56,1.56,3.85,3.85,3.37,5.55,0.8,0.31,0.71,0.15,1.61,3.42,0.8,0.8,0.8,6.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,6.0,7.0,1.0,2.0,18.0,4.0,5.0,1.0,4.0,1.0,2.0,0.09,0.2,0.51,0.0,0.0,0.0,7.0,7.0,7.0,1.0,0.07,0.0,0.0,0.87,0.87,0.87
CHI,2022,CHI,CHI,Team Level,other,6,0.57,0.29,0.35,845.0,8.21,2.88,0.45,1.27,0.21,3.11,3.08,2.74,2.88,2.74,7.0,4.0,1.0,12.0,2.0,1.0,0.0,2.0,0.0,4.0,2.0,5.0,9.0,1.0,2.0,14.0,6.0,2.0,3.0,5.0,2.0,4.0,0.2,0.2,2.48,0.0,1.0,1.0,12.0,11.0,11.0,1.0,0.12,0.5,0.5,2.5,2.5,2.37,14.36,2.13,1.06,2.5,0.52,9.11,4.68,2.08,2.13,2.08,14.0,6.0,9.0,29.0,0.0,2.0,0.0,4.0,1.0,5.0,8.0,14.0,20.0,0.0,0.0,7.0,2.0,4.0,1.0,15.0,3.0,2.0,0.7,0.26,1.17,0.0,0.0,0.0,29.0,20.0,20.0,0.0,0.34,0.93,0.09,2.39,2.39,2.31
CHI,2022,CHI,CHI,Team Level,all,6,0.44,0.41,0.42,21736.0,145.28,15.03,9.76,34.25,4.92,73.74,58.3,14.6,14.85,14.43,147.0,49.0,64.0,260.0,20.0,16.0,4.0,35.0,4.0,52.0,69.0,127.0,176.0,29.0,65.0,193.0,191.0,61.0,70.0,147.0,32.0,17.0,4.05,3.84,7.14,10.0,4.0,6.0,256.65,196.0,193.45,29.0,2.16,2.87,2.92,14.27,14.17,13.93,198.07,19.28,13.88,45.53,6.58,110.92,78.8,18.43,19.56,18.7,191.0,84.0,106.0,381.0,17.0,16.0,2.0,31.0,5.0,100.0,106.0,174.0,258.0,21.0,43.0,139.0,106.0,53.0,39.0,213.0,39.0,23.0,6.56,4.57,8.15,6.0,6.0,5.0,388.27,275.0,280.35,12.0,3.13,4.68,4.68,17.73,17.97,17.48
CHI,2022,CHI,CHI,Team Level,5on5,6,0.44,0.43,0.43,17170.0,111.57,9.21,7.34,27.49,3.82,58.53,44.61,8.98,9.03,8.81,108.0,43.0,59.0,210.0,9.0,11.0,2.0,30.0,4.0,42.0,55.0,99.0,142.0,24.0,53.0,136.0,171.0,47.0,59.0,115.0,27.0,9.0,3.01,3.35,2.86,6.0,2.0,1.0,206.65,151.0,148.46,28.0,1.53,1.85,1.9,8.84,8.73,8.64,144.07,11.7,9.44,35.21,4.81,80.3,59.53,11.44,11.98,11.71,142.0,59.0,80.0,281.0,12.0,10.0,2.0,21.0,4.0,78.0,76.0,130.0,189.0,19.0,39.0,104.0,97.0,44.0,34.0,162.0,25.0,14.0,4.91,2.91,3.88,6.0,2.0,4.0,288.27,201.0,206.35,11.0,1.95,2.54,2.54,11.11,11.34,11.19
CHI,2022,CHI,CHI,Team Level,4on5,6,0.12,0.15,0.19,2361.0,8.05,0.66,0.42,1.31,0.25,2.77,5.59,0.66,0.66,0.66,11.0,0.0,0.0,11.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,7.0,1.0,2.0,29.0,9.0,11.0,1.0,8.0,2.0,1.0,0.21,0.2,0.25,2.0,1.0,1.0,11.0,11.0,11.0,0.0,0.1,0.0,0.0,0.76,0.76,0.76,34.47,4.87,3.06,7.03,1.08,19.92,11.03,4.34,4.87,4.34,30.0,17.0,17.0,64.0,5.0,4.0,0.0,6.0,0.0,17.0,15.0,25.0,42.0,1.0,2.0,19.0,4.0,1.0,4.0,31.0,10.0,6.0,0.73,1.27,2.87,0.0,4.0,1.0,64.0,47.0,47.0,1.0,0.78,1.21,2.05,3.6,3.6,3.33
CHI,2022,CHI,CHI,Team Level,5on4,6,0.8,0.79,0.77,1360.0,17.45,2.27,1.54,4.2,0.64,9.33,5.02,2.22,2.27,2.22,21.0,2.0,4.0,27.0,5.0,4.0,2.0,2.0,0.0,6.0,6.0,16.0,18.0,3.0,8.0,14.0,5.0,1.0,7.0,19.0,1.0,3.0,0.63,0.08,1.56,2.0,0.0,3.0,27.0,23.0,23.0,0.0,0.42,0.51,0.51,2.18,2.18,2.17,5.17,0.57,0.32,0.8,0.17,1.59,3.55,0.57,0.57,0.57,5.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,7.0,1.0,2.0,9.0,3.0,4.0,0.0,5.0,1.0,1.0,0.21,0.13,0.23,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.07,0.0,0.0,0.65,0.65,0.64
BUF,2022,BUF,BUF,Team Level,other,6,0.78,0.41,0.44,623.0,8.25,4.93,0.4,1.09,0.28,3.0,2.3,4.82,4.93,4.82,11.0,1.0,1.0,13.0,6.0,0.0,0.0,2.0,1.0,2.0,1.0,5.0,6.0,1.0,2.0,13.0,0.0,1.0,0.0,3.0,2.0,7.0,0.09,0.3,4.54,0.0,0.0,6.0,13.0,12.0,12.0,0.0,0.12,0.0,0.0,5.05,5.05,4.93,10.66,1.36,0.97,2.07,0.4,7.5,2.69,1.14,1.36,1.14,12.0,3.0,4.0,19.0,2.0,2.0,1.0,3.0,0.0,7.0,1.0,10.0,13.0,3.0,6.0,10.0,0.0,1.0,0.0,9.0,5.0,1.0,0.34,0.66,0.37,0.0,2.0,0.0,19.0,15.0,15.0,0.0,0.26,0.51,0.51,1.11,1.11,1.0
BUF,2022,BUF,BUF,Team Level,all,6,0.49,0.45,0.44,21600.0,168.91,20.41,11.08,36.4,5.57,89.17,67.38,20.07,21.03,20.68,162.0,68.0,74.0,304.0,23.0,7.0,1.0,28.0,10.0,73.0,89.0,139.0,207.0,25.0,50.0,177.0,77.0,51.0,43.0,164.0,47.0,19.0,5.37,5.63,9.41,2.0,10.0,11.0,317.8,230.0,240.4,26.0,2.44,1.56,1.56,21.29,21.95,21.67,210.43,21.64,15.34,47.82,7.08,117.4,81.73,20.44,21.3,20.11,218.0,73.0,74.0,365.0,16.0,24.0,4.0,46.0,1.0,96.0,108.0,202.0,275.0,25.0,50.0,169.0,141.0,47.0,44.0,211.0,57.0,23.0,6.88,6.84,7.92,5.0,6.0,5.0,355.76,291.0,283.69,18.0,3.38,4.25,4.25,20.77,20.47,19.89
BUF,2022,BUF,BUF,Team Level,5on5,6,0.45,0.46,0.45,16825.0,132.91,11.25,8.74,30.27,4.45,71.96,53.34,11.08,11.88,11.69,120.0,60.0,58.0,238.0,14.0,5.0,1.0,21.0,7.0,60.0,73.0,106.0,166.0,22.0,44.0,129.0,73.0,43.0,36.0,133.0,42.0,5.0,4.61,4.94,1.7,2.0,9.0,3.0,251.8,180.0,190.4,26.0,1.8,1.16,1.16,11.89,12.56,12.43,158.27,14.01,10.67,38.21,5.38,86.87,63.86,13.2,13.68,12.88,165.0,54.0,56.0,275.0,9.0,18.0,2.0,41.0,0.0,69.0,82.0,156.0,210.0,20.0,40.0,135.0,130.0,39.0,39.0,164.0,42.0,13.0,5.43,5.0,3.58,3.0,3.0,3.0,265.76,219.0,211.69,16.0,2.19,2.56,2.56,13.64,13.33,13.04
BUF,2022,BUF,BUF,Team Level,4on5,6,0.15,0.16,0.17,2100.0,7.84,0.92,0.37,0.97,0.22,2.24,5.28,0.9,0.92,0.9,10.0,0.0,2.0,12.0,1.0,1.0,0.0,1.0,0.0,2.0,5.0,9.0,9.0,1.0,2.0,12.0,4.0,5.0,0.0,6.0,3.0,1.0,0.14,0.39,0.39,0.0,1.0,0.0,12.0,10.0,10.0,0.0,0.08,0.39,0.39,0.61,0.61,0.61,35.06,5.21,3.25,6.66,1.09,20.86,10.92,5.04,5.21,5.04,33.0,15.0,14.0,62.0,5.0,4.0,1.0,1.0,1.0,18.0,19.0,28.0,43.0,2.0,4.0,16.0,4.0,2.0,3.0,32.0,10.0,6.0,0.9,1.18,3.14,2.0,1.0,2.0,62.0,48.0,48.0,0.0,0.82,1.17,1.17,4.87,4.87,4.7
BUF,2022,BUF,BUF,Team Level,5on4,6,0.76,0.82,0.76,2052.0,19.92,3.31,1.58,4.07,0.63,11.96,6.47,3.27,3.31,3.27,21.0,7.0,13.0,41.0,2.0,1.0,0.0,4.0,2.0,9.0,10.0,19.0,26.0,1.0,2.0,23.0,0.0,2.0,7.0,22.0,0.0,6.0,0.53,0.0,2.78,0.0,0.0,2.0,41.0,28.0,28.0,0.0,0.44,0.01,0.01,3.74,3.74,3.7,6.45,1.05,0.44,0.88,0.21,2.17,4.26,1.05,1.05,1.05,8.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,8.0,9.0,0.0,0.0,8.0,7.0,5.0,2.0,6.0,0.0,3.0,0.22,0.0,0.83,0.0,0.0,0.0,9.0,9.0,9.0,2.0,0.1,0.0,0.0,1.15,1.15,1.15
TBL,2022,TBL,TBL,Team Level,other,7,0.67,0.62,0.64,1400.0,21.37,6.14,1.57,3.58,0.8,11.58,5.33,5.44,6.14,5.44,19.0,10.0,9.0,38.0,3.0,2.0,0.0,5.0,2.0,12.0,5.0,16.0,26.0,1.0,2.0,21.0,5.0,1.0,0.0,8.0,10.0,11.0,0.35,1.17,4.62,0.0,0.0,3.0,38.0,29.0,29.0,0.0,0.53,0.73,0.73,5.94,5.94,5.27,11.64,2.98,0.84,2.04,0.4,6.79,2.95,2.9,2.98,2.9,11.0,5.0,7.0,23.0,1.0,1.0,0.0,4.0,2.0,5.0,3.0,10.0,15.0,2.0,4.0,12.0,4.0,2.0,8.0,6.0,7.0,3.0,0.31,0.82,1.85,0.0,0.0,1.0,23.0,16.0,16.0,4.0,0.26,0.11,0.11,3.14,3.14,3.04
TBL,2022,TBL,TBL,Team Level,all,7,0.49,0.48,0.48,25328.0,216.82,25.04,15.47,48.83,7.48,118.5,83.68,23.79,25.38,24.12,222.0,77.0,98.0,397.0,20.0,20.0,1.0,52.0,5.0,109.0,93.0,202.0,279.0,30.0,66.0,179.0,154.0,51.0,59.0,209.0,61.0,29.0,6.4,7.57,11.07,3.0,7.0,10.0,404.78,299.0,304.42,29.0,3.55,4.04,4.04,24.55,24.88,23.92,237.41,26.37,17.66,52.38,7.97,131.0,90.62,24.89,26.23,24.76,242.0,84.0,111.0,437.0,23.0,20.0,2.0,41.0,8.0,107.0,127.0,219.0,303.0,33.0,72.0,210.0,207.0,60.0,63.0,213.0,86.0,27.0,7.05,10.34,8.97,5.0,12.0,6.0,436.51,326.0,324.59,29.0,3.93,4.06,4.06,26.24,26.1,25.41
TBL,2022,TBL,TBL,Team Level,5on5,7,0.47,0.49,0.49,19141.0,157.21,14.47,10.98,37.67,5.52,85.79,63.56,14.09,14.81,14.41,159.0,59.0,74.0,292.0,12.0,16.0,1.0,39.0,3.0,76.0,72.0,147.0,206.0,26.0,58.0,119.0,137.0,42.0,53.0,159.0,47.0,12.0,5.22,5.86,3.39,3.0,5.0,4.0,299.78,218.0,223.42,28.0,2.27,2.61,2.61,14.12,14.46,14.23,168.38,16.22,11.7,39.06,5.55,91.71,65.77,15.51,16.08,15.39,171.0,59.0,79.0,309.0,16.0,15.0,2.0,26.0,4.0,72.0,97.0,155.0,214.0,27.0,60.0,146.0,192.0,42.0,47.0,161.0,51.0,18.0,5.04,6.33,4.85,3.0,9.0,4.0,308.51,230.0,228.59,23.0,2.43,3.08,3.08,15.57,15.43,15.26
TBL,2022,TBL,TBL,Team Level,4on5,7,0.08,0.1,0.11,2324.0,6.29,0.52,0.3,1.12,0.19,1.55,4.32,0.45,0.52,0.45,7.0,1.0,2.0,10.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,7.0,8.0,1.0,2.0,20.0,9.0,5.0,0.0,7.0,0.0,1.0,0.21,0.0,0.31,0.0,0.0,0.0,10.0,8.0,8.0,0.0,0.07,0.31,0.31,0.29,0.29,0.26,48.27,6.39,4.61,10.07,1.74,29.09,15.1,5.72,6.39,5.72,50.0,17.0,22.0,89.0,5.0,4.0,0.0,10.0,1.0,27.0,20.0,45.0,62.0,1.0,2.0,26.0,1.0,5.0,8.0,38.0,23.0,6.0,1.52,2.6,2.27,2.0,2.0,1.0,89.0,67.0,67.0,2.0,1.13,0.87,0.87,6.65,6.65,6.23
TBL,2022,TBL,TBL,Team Level,5on4,7,0.83,0.78,0.77,2463.0,31.95,3.91,2.62,6.46,0.97,19.58,10.47,3.81,3.91,3.81,37.0,7.0,13.0,57.0,5.0,1.0,0.0,6.0,0.0,19.0,13.0,32.0,39.0,2.0,4.0,19.0,3.0,3.0,6.0,35.0,4.0,5.0,0.61,0.54,2.76,0.0,2.0,3.0,57.0,44.0,44.0,1.0,0.68,0.39,0.39,4.2,4.2,4.16,9.12,0.78,0.52,1.21,0.28,3.42,6.8,0.76,0.78,0.76,10.0,3.0,3.0,16.0,1.0,0.0,0.0,1.0,1.0,3.0,7.0,9.0,12.0,3.0,6.0,26.0,10.0,11.0,0.0,8.0,5.0,0.0,0.17,0.61,0.0,0.0,1.0,0.0,16.0,13.0,13.0,0.0,0.12,0.0,0.0,0.89,0.89,0.88
EDM,2022,EDM,EDM,Team Level,other,6,0.5,0.61,0.62,1093.0,16.82,3.5,1.37,2.92,0.54,9.95,4.73,3.27,3.5,3.27,19.0,4.0,4.0,27.0,4.0,2.0,1.0,3.0,0.0,9.0,5.0,15.0,19.0,1.0,2.0,18.0,5.0,4.0,5.0,12.0,8.0,3.0,0.51,1.01,1.98,0.0,2.0,2.0,27.0,23.0,23.0,3.0,0.36,0.51,0.51,3.34,3.34,3.22,10.61,3.46,0.75,1.77,0.34,4.8,2.88,3.35,3.46,3.35,11.0,3.0,3.0,17.0,3.0,0.0,0.0,2.0,0.0,6.0,3.0,8.0,11.0,3.0,6.0,13.0,2.0,3.0,1.0,5.0,3.0,6.0,0.12,0.45,2.88,0.0,0.0,3.0,17.0,14.0,14.0,1.0,0.23,0.0,0.0,3.68,3.68,3.57
EDM,2022,EDM,EDM,Team Level,all,6,0.51,0.5,0.5,21600.0,193.2,20.77,13.85,44.09,6.43,108.82,76.04,19.57,19.98,18.85,205.0,65.0,88.0,358.0,22.0,18.0,1.0,41.0,3.0,110.0,76.0,183.0,248.0,27.0,56.0,202.0,186.0,67.0,97.0,179.0,76.0,15.0,5.83,9.67,5.27,6.0,13.0,3.0,341.55,270.0,259.47,52.0,3.02,3.35,3.35,20.43,19.71,19.04,195.6,20.05,13.11,46.59,6.73,108.75,78.77,19.73,20.96,20.62,199.0,75.0,80.0,354.0,20.0,13.0,2.0,41.0,6.0,101.0,93.0,179.0,254.0,22.0,44.0,191.0,162.0,54.0,56.0,214.0,37.0,23.0,5.63,4.54,9.89,4.0,4.0,12.0,372.49,274.0,287.95,38.0,3.04,1.52,1.52,21.58,22.52,22.25
EDM,2022,EDM,EDM,Team Level,5on5,6,0.55,0.53,0.51,16867.0,153.36,13.77,10.32,37.14,5.05,85.11,61.61,12.94,12.99,12.21,157.0,56.0,78.0,291.0,10.0,15.0,0.0,38.0,2.0,92.0,56.0,147.0,203.0,24.0,50.0,155.0,176.0,49.0,83.0,156.0,47.0,10.0,4.89,6.08,2.79,4.0,5.0,1.0,274.55,213.0,202.47,45.0,2.13,2.68,2.68,13.22,12.5,12.11,144.39,11.23,8.95,36.53,5.01,79.81,61.46,11.06,12.13,11.95,144.0,59.0,57.0,260.0,11.0,11.0,2.0,30.0,4.0,71.0,76.0,133.0,192.0,18.0,36.0,138.0,156.0,43.0,44.0,160.0,34.0,9.0,4.66,4.08,2.49,4.0,4.0,3.0,278.49,203.0,216.95,33.0,1.84,1.47,1.47,11.6,12.55,12.46
EDM,2022,EDM,EDM,Team Level,4on5,6,0.09,0.11,0.11,2249.0,4.79,0.49,0.26,0.8,0.18,1.74,3.53,0.49,0.49,0.49,6.0,1.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,0.0,0.0,18.0,3.0,7.0,4.0,4.0,3.0,0.0,0.11,0.39,0.0,0.0,2.0,0.0,9.0,7.0,7.0,4.0,0.06,0.0,0.0,0.55,0.55,0.55,38.38,5.23,3.33,7.96,1.3,23.5,12.68,5.2,5.23,5.2,41.0,13.0,19.0,73.0,6.0,2.0,0.0,9.0,2.0,22.0,13.0,35.0,48.0,1.0,2.0,29.0,2.0,5.0,7.0,46.0,0.0,8.0,0.72,0.0,4.51,0.0,0.0,6.0,73.0,54.0,54.0,0.0,0.96,0.04,0.04,6.15,6.15,6.08
EDM,2022,EDM,EDM,Team Level,5on4,6,0.96,0.89,0.9,1391.0,18.22,3.01,1.91,3.24,0.66,12.02,6.16,2.87,3.01,2.87,23.0,4.0,4.0,31.0,6.0,1.0,0.0,0.0,1.0,9.0,10.0,17.0,21.0,2.0,4.0,11.0,2.0,7.0,5.0,7.0,18.0,2.0,0.32,2.19,0.5,2.0,4.0,0.0,31.0,27.0,27.0,0.0,0.47,0.16,0.16,3.32,3.32,3.16,2.21,0.13,0.08,0.33,0.07,0.63,1.75,0.13,0.13,0.13,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,11.0,2.0,3.0,4.0,3.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,0.02,0.0,0.0,0.15,0.15,0.15
SEA,2022,SEA,SEA,Team Level,other,8,0.57,0.56,0.53,625.0,6.36,1.14,0.36,1.21,0.24,3.79,2.28,1.14,1.14,1.14,8.0,1.0,5.0,14.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,7.0,8.0,1.0,2.0,6.0,2.0,2.0,2.0,5.0,3.0,1.0,0.16,0.51,0.47,0.0,0.0,1.0,14.0,9.0,9.0,1.0,0.11,0.0,0.0,1.24,1.24,1.24,5.7,0.85,0.4,1.1,0.19,3.18,2.28,0.82,0.85,0.82,5.0,3.0,3.0,11.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,1.0,2.0,11.0,3.0,3.0,2.0,5.0,2.0,1.0,0.18,0.25,0.43,1.0,1.0,0.0,11.0,8.0,8.0,0.0,0.1,0.43,0.43,0.53,0.53,0.51
SEA,2022,SEA,SEA,Team Level,all,8,0.55,0.53,0.54,28985.0,252.15,25.99,17.93,56.59,8.31,139.28,99.91,24.79,26.24,25.04,257.0,91.0,100.0,448.0,26.0,24.0,5.0,65.0,6.0,99.0,128.0,231.0,322.0,37.0,81.0,179.0,167.0,54.0,56.0,252.0,66.0,30.0,7.23,8.52,10.23,6.0,10.0,10.0,450.53,348.0,350.69,33.0,3.87,5.02,5.02,24.84,25.03,24.52,210.97,21.21,15.51,47.28,7.27,116.74,84.0,20.57,21.57,20.91,209.0,83.0,99.0,391.0,28.0,14.0,4.0,50.0,7.0,82.0,111.0,181.0,264.0,36.0,83.0,278.0,177.0,60.0,64.0,206.0,66.0,20.0,6.33,8.0,6.87,9.0,10.0,9.0,396.64,292.0,297.28,28.0,3.45,2.38,2.39,22.27,22.59,22.12
SEA,2022,SEA,SEA,Team Level,5on5,8,0.59,0.54,0.55,23110.0,204.13,19.75,14.31,47.6,6.86,110.39,82.08,18.65,20.01,18.89,206.0,75.0,80.0,361.0,16.0,22.0,4.0,56.0,5.0,76.0,106.0,190.0,265.0,33.0,70.0,136.0,153.0,46.0,49.0,202.0,57.0,22.0,6.2,7.38,6.16,4.0,9.0,3.0,363.53,281.0,283.7,30.0,2.97,4.1,4.1,18.62,18.81,18.4,164.82,13.88,11.7,38.4,5.59,90.64,66.79,13.56,14.24,13.91,162.0,65.0,81.0,308.0,15.0,10.0,2.0,42.0,5.0,66.0,89.0,147.0,212.0,31.0,68.0,213.0,161.0,51.0,55.0,165.0,53.0,9.0,5.36,6.48,2.04,6.0,7.0,2.0,313.64,227.0,232.28,26.0,2.42,1.51,1.52,14.78,15.1,14.93
SEA,2022,SEA,SEA,Team Level,4on5,8,0.06,0.09,0.09,2453.0,4.14,0.38,0.17,0.56,0.12,1.15,2.61,0.38,0.38,0.38,4.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,5.0,1.0,5.0,18.0,10.0,6.0,2.0,3.0,1.0,1.0,0.07,0.1,0.21,0.0,0.0,0.0,6.0,5.0,5.0,2.0,0.04,0.0,0.0,0.42,0.42,0.42,34.88,6.02,3.0,6.72,1.22,20.23,10.81,5.72,6.02,5.72,37.0,11.0,15.0,63.0,9.0,3.0,2.0,7.0,2.0,12.0,15.0,28.0,39.0,3.0,11.0,31.0,5.0,1.0,4.0,28.0,11.0,9.0,0.59,1.28,4.15,1.0,2.0,6.0,63.0,48.0,48.0,0.0,0.84,0.44,0.44,6.42,6.42,6.14
