lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847687184803268481535,2022,Hoglander-Dries-Pearson,VAN,line,5on5,2,663.0,8.0,0.32,0.19,0.2,1.07,0.1,0.08,0.26,0.05,0.91,0.59,0.1,0.1,0.1,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,6.0,6.0,2.0,1.0,2.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,3.1,2.0,2.07,1.0,0.02,0.0,0.0,0.12,0.12,0.12,5.41,0.22,0.29,1.39,0.17,3.53,2.41,0.22,0.21,0.21,6.0,2.0,5.0,13.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,5.0,7.0,0.0,0.0,10.0,7.0,1.0,2.0,7.0,1.0,0.0,0.1,0.12,0.0,1.0,0.0,0.0,12.24,8.0,7.52,1.0,0.06,0.0,0.0,0.28,0.26,0.26
847692584796618482062,2022,Smith-Sissons-Jeannot,NSH,line,5on5,7,825.0,72.0,0.51,0.76,0.67,4.99,0.31,0.35,1.2,0.18,3.6,2.36,0.3,0.29,0.28,6.0,2.0,5.0,13.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,6.0,8.0,3.0,15.0,11.0,20.0,2.0,3.0,7.0,1.0,0.0,0.22,0.09,0.0,0.0,0.0,0.0,11.86,8.0,7.43,2.0,0.07,0.0,0.0,0.38,0.35,0.34,3.06,0.29,0.22,0.67,0.09,1.63,1.09,0.29,0.3,0.3,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,3.0,15.0,1.0,6.0,0.0,1.0,2.0,2.0,0.0,0.06,0.23,0.0,0.0,0.0,0.0,4.12,4.0,4.1,0.0,0.05,0.0,0.0,0.34,0.35,0.35
847632984793438482699,2022,Guenther-Boyd-Keller,ARI,line,5on5,8,1521.0,54.0,0.29,0.49,0.44,9.96,0.7,0.53,2.48,0.33,5.62,4.34,0.68,0.66,0.64,6.0,8.0,8.0,22.0,0.0,1.0,0.0,0.0,0.0,5.0,8.0,6.0,14.0,4.0,8.0,12.0,9.0,5.0,7.0,11.0,3.0,0.0,0.3,0.41,0.0,0.0,0.0,0.0,20.59,14.0,13.12,2.0,0.1,0.16,0.16,0.65,0.61,0.6,13.58,1.75,1.03,2.82,0.42,6.83,5.14,1.72,1.83,1.79,14.0,4.0,5.0,23.0,1.0,1.0,0.0,1.0,2.0,7.0,6.0,13.0,17.0,3.0,6.0,11.0,7.0,1.0,5.0,10.0,7.0,1.0,0.39,1.06,0.3,1.0,0.0,0.0,24.06,18.0,18.7,3.0,0.22,0.3,0.3,1.68,1.75,1.71
84706138476958,2022,Slavin-Burns,CAR,pairing,5on5,12,10966.0,20.0,0.56,0.66,0.64,118.35,9.15,7.48,32.85,4.23,67.96,49.33,8.73,9.42,8.98,121.0,50.0,70.0,241.0,6.0,14.0,1.0,33.0,3.0,67.0,48.0,115.0,165.0,15.0,30.0,127.0,70.0,32.0,28.0,134.0,27.0,10.0,3.59,2.98,2.58,2.0,2.0,2.0,245.17,171.0,174.62,16.0,1.55,2.18,2.13,8.57,8.82,8.59,71.1,7.15,4.89,17.14,2.41,37.34,28.06,6.8,7.18,6.83,72.0,25.0,26.0,123.0,8.0,12.0,0.0,16.0,0.0,29.0,32.0,64.0,89.0,18.0,36.0,99.0,78.0,20.0,29.0,69.0,20.0,8.0,2.06,2.43,2.66,4.0,4.0,0.0,122.94,97.0,97.43,17.0,1.02,2.54,2.54,5.63,5.63,5.54
84740138479026,2022,Cole-Myers,TBL,pairing,5on5,4,1626.0,12.0,0.55,0.61,0.55,12.59,1.09,0.86,3.51,0.49,6.81,5.24,1.07,1.08,1.06,15.0,3.0,12.0,30.0,0.0,3.0,0.0,6.0,2.0,4.0,3.0,15.0,18.0,1.0,2.0,16.0,23.0,5.0,4.0,13.0,4.0,1.0,0.41,0.47,0.21,0.0,0.0,0.0,30.05,18.0,17.92,2.0,0.18,0.41,0.41,0.85,0.85,0.84,10.74,0.87,0.66,2.43,0.33,6.03,4.66,0.87,0.89,0.89,14.0,1.0,4.0,19.0,2.0,0.0,0.0,5.0,0.0,5.0,3.0,12.0,13.0,1.0,2.0,10.0,17.0,5.0,2.0,11.0,3.0,1.0,0.3,0.35,0.23,0.0,1.0,1.0,19.18,15.0,15.28,1.0,0.13,0.0,0.0,1.01,1.03,1.02
847060484779538478046,2022,Heinen-Carter-Kapanen,PIT,line,5on5,6,2430.0,23.0,0.44,0.51,0.48,21.24,2.15,1.64,5.07,0.82,12.26,9.06,2.09,2.22,2.15,26.0,5.0,14.0,45.0,3.0,4.0,0.0,9.0,1.0,3.0,11.0,23.0,28.0,2.0,4.0,25.0,28.0,0.0,6.0,20.0,9.0,2.0,0.56,1.07,0.52,0.0,3.0,0.0,48.26,31.0,32.33,4.0,0.35,0.43,0.43,2.07,2.13,2.08,24.32,2.77,1.87,5.73,0.9,12.81,9.93,2.47,2.74,2.44,27.0,7.0,9.0,43.0,1.0,5.0,0.0,4.0,0.0,12.0,12.0,26.0,33.0,3.0,6.0,14.0,16.0,3.0,9.0,21.0,10.0,3.0,0.6,1.17,1.0,0.0,1.0,0.0,40.91,34.0,32.86,7.0,0.39,1.15,1.15,2.01,1.96,1.82
847516684757148477021,2022,Kerfoot-Tavares-Jarnkrok,TOR,line,5on5,5,682.0,64.0,0.43,0.26,0.26,4.04,0.43,0.29,0.86,0.1,1.81,1.52,0.43,0.48,0.48,4.0,1.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,4.0,5.0,0.0,0.0,4.0,0.0,0.0,4.0,3.0,2.0,0.0,0.07,0.36,0.0,0.0,0.0,0.0,6.67,5.0,5.55,2.0,0.06,0.0,0.0,0.49,0.54,0.54,9.61,0.57,0.63,2.38,0.31,5.97,4.14,0.54,0.54,0.51,11.0,3.0,3.0,17.0,1.0,1.0,0.0,2.0,1.0,4.0,5.0,10.0,13.0,1.0,0.0,11.0,6.0,1.0,2.0,13.0,1.0,0.0,0.39,0.18,0.0,1.0,0.0,0.0,15.82,14.0,13.09,1.0,0.13,0.18,0.18,0.51,0.48,0.46
84757628478415,2022,Forbort-Zboril,BOS,pairing,5on5,4,834.0,32.0,0.58,0.51,0.54,10.64,0.8,0.66,2.23,0.33,5.2,4.79,0.78,0.85,0.83,10.0,4.0,4.0,18.0,1.0,0.0,0.0,5.0,0.0,2.0,6.0,9.0,13.0,1.0,5.0,7.0,5.0,2.0,1.0,10.0,4.0,0.0,0.3,0.5,0.0,1.0,0.0,0.0,19.38,14.0,14.93,0.0,0.14,0.0,0.0,0.93,0.99,0.97,9.04,0.58,0.66,1.86,0.25,5.26,3.39,0.55,0.53,0.51,8.0,4.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,8.0,12.0,2.0,7.0,5.0,12.0,1.0,7.0,10.0,2.0,0.0,0.33,0.25,0.0,0.0,0.0,0.0,15.55,12.0,11.0,4.0,0.14,0.0,0.0,0.71,0.66,0.63
847121884794008482149,2022,Perfetti-Dubois-Wheeler,WPG,line,5on5,11,6894.0,25.0,0.52,0.56,0.57,69.42,5.67,4.6,16.91,2.49,40.43,28.9,5.49,5.58,5.41,64.0,35.0,22.0,121.0,5.0,8.0,2.0,11.0,0.0,33.0,42.0,59.0,94.0,5.0,13.0,48.0,51.0,18.0,19.0,80.0,15.0,4.0,2.64,1.92,1.11,2.0,2.0,1.0,121.16,99.0,99.34,15.0,0.95,1.32,1.32,5.29,5.26,5.18,54.68,5.3,3.92,12.82,1.75,30.72,21.49,5.13,5.38,5.2,59.0,17.0,19.0,95.0,6.0,5.0,1.0,9.0,2.0,25.0,29.0,53.0,70.0,9.0,23.0,57.0,47.0,10.0,26.0,54.0,18.0,4.0,1.63,2.52,1.15,3.0,2.0,1.0,95.2,76.0,76.05,21.0,0.81,1.18,1.18,4.92,4.94,4.8
847488484800188481540,2022,Hoffman-Suzuki-Caufield,MTL,line,5on5,5,673.0,56.0,0.44,0.5,0.56,7.47,0.41,0.41,1.61,0.22,4.1,3.25,0.39,0.41,0.39,6.0,4.0,2.0,12.0,1.0,0.0,0.0,4.0,0.0,3.0,2.0,5.0,9.0,1.0,2.0,3.0,2.0,0.0,0.0,9.0,1.0,0.0,0.25,0.16,0.0,1.0,0.0,0.0,12.48,10.0,10.4,0.0,0.08,0.0,0.0,0.49,0.49,0.47,5.6,0.52,0.39,1.11,0.19,3.17,2.61,0.52,0.52,0.52,8.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,8.0,1.0,2.0,6.0,1.0,1.0,2.0,7.0,1.0,0.0,0.35,0.18,0.0,0.0,0.0,0.0,11.97,8.0,7.83,1.0,0.08,0.0,0.0,0.6,0.6,0.6
